"","scientific_name","taxa_data.kingdom.i.","taxa_data.class.i.","taxa_data.order.i.","File_loc","Year","original","taxa_data.scientificNameAuthorship.i.","Title","EID","taxa_data.family.i.","taxa_data.ï..taxonID.i.","taxa_data.acceptedNameUsageID.i.","taxa_data.parentNameUsageID.i.","taxa_data.taxonomicStatus.i.","level"
"5747","Eriocnemis mirabilis","Animalia","Aves","Apodiformes","10.1111/btp.12442","2017","Eriocnemis mirabilis","Meyer de Schauensee 1967","The role of the endemic and critically endangered Colorful Puffleg Eriocnemis mirabilis in plant-hummingbird networks of the Colombian Andes","2-s2.0-85019396674","Trochilidae","27743477",NA,"33376192","accepted name","1a"
"5748","Ocreatus underwoodii","Animalia","Aves","Apodiformes","","1999","Ocreatus underwoodii","Lesson 1832","Pollination ecology and effect of nectar removal in Macleania bullata (Ericaceae)","2-s2.0-0033493004","Trochilidae","27743484",NA,"33385403","accepted name","1a"
"5749","Sappho sparganura","Animalia","Aves","Apodiformes","10.1007/s00606-005-0366-9","2006","Sappho sparganura","Shaw 1812","Hummingbird pollination in Salvia haenkei (Lamiaceae) lacking the typical lever mechanism","2-s2.0-33644858937","Trochilidae","27743487",NA,"33380914","accepted name","1a"
"5750","Oxypogon guerinii","Animalia","Aves","Apodiformes","","1989","Oxypogon guerinii","Boissonneau 1840","Wind pollination, self-incompatibility, and altitudinal shifts in pollination systems in the High Andean genus Espeletia (Asteraceae)","2-s2.0-0024898802","Trochilidae","27743505",NA,"33380774","accepted name","1a"
"5751","Augastes scutatus","Animalia","Aves","Apodiformes","10.1590/bjb.2014.0097","2014","Augastes scutatus","Temminck 1824","Flowers visited by hummingbirds in the open habitats of the Southeastern Brazilian mountaintops: Species composition and seasonality [Flores visitadas por beija-flores em habitats abertos de montanhas do sudeste do Brasil: Sazonalidade e composição de espécies]","2-s2.0-84925022994","Trochilidae","27743512",NA,"33376190","accepted name","1a"
"5752","Augastes scutatus","Animalia","Aves","Apodiformes","10.1590/bjb.2014.0097","2014","Augastes scutatus","Temminck 1824","Flowers visited by hummingbirds in the open habitats of the Southeastern Brazilian mountaintops: Species composition and seasonality [Flores visitadas por beija-flores em habitats abertos de montanhas do sudeste do Brasil: Sazonalidade e composição de espécies]","2-s2.0-84925022994","Trochilidae","27743512",NA,"33376190","accepted name","1a"
"5753","Augastes scutatus","Animalia","Aves","Apodiformes","10.1111/j.1438-8677.1990.tb00130.x","1990","Augastes scutatus","Temminck 1824","Hummingbird Pollination in Two Species of Vellozia (Liliiflorae: Velloziaceae) in Southeastern Brazil","2-s2.0-84995107541","Trochilidae","27743512",NA,"33376190","accepted name","1a"
"5754","Heliomaster squamosus","Animalia","Aves","Apodiformes","10.1590/S1519-69842012000100006","2012","Heliomaster squamosus","Temminck 1823","The community of hummingbirds (Aves: Trochilidae) and the assemblage of flowers in a Caatinga vegetation [A comunidade de beija-flores (Aves: Trochilidae) e a assembleia de flores em uma área de Caatinga]","2-s2.0-84858983363","Trochilidae","27743519",NA,"33444696","accepted name","1a"
"5755","Heliomaster furcifer","Animalia","Aves","Apodiformes","","2016","Heliomaster furcifer","Shaw 1812","Exploitation of Ceiba pubiflora flowers by birds","2-s2.0-84983339529","Trochilidae","27743520",NA,"33444696","accepted name","1a"
"5756","Heliomaster furcifer","Animalia","Aves","Apodiformes","10.1590/S1519-69842013000400008","2013","Heliomaster furcifer","Shaw 1812","Birds as potential pollinators of the Spathodea nilotica (Bignoniaceae) in the urban environment [Aves como potenciais polinizadoras de Spathodea nilotica (Bignoniaceae) em ambiente urbano]","2-s2.0-84899978579","Trochilidae","27743520",NA,"33444696","accepted name","1a"
"5757","Heliomaster furcifer","Animalia","Aves","Apodiformes","10.1007/s00606-010-0379-x","2011","Heliomaster furcifer","Shaw 1812","Pollination biology of Canna indica (Cannaceae) with particular reference to the functional morphology of the style","2-s2.0-78650994550","Trochilidae","27743520",NA,"33444696","accepted name","1a"
"5758","Heliomaster furcifer","Animalia","Aves","Apodiformes","10.1055/s-2003-44783","2003","Heliomaster furcifer","Shaw 1812","Functional Gynodioecy in Opuntia quimilo (Cactaceae), a Tree Cactus Pollinated by Bees and Hummingbirds","2-s2.0-0344287508","Trochilidae","27743520",NA,"33444696","accepted name","1a"
"5759","Rhodopis vesper","Animalia","Aves","Apodiformes","","1996","Rhodopis vesper","Lesson 1829","Bat and hummingbird pollination of an autotetraploid columnar cactus, Weberbauerocereus weberbaueri (Cactaceae)","2-s2.0-0030301957","Trochilidae","27743521",NA,"33444697","accepted name","1a"
"5760","Selasphorus flammula","Animalia","Aves","Apodiformes","10.1007/BF00696435","1972","Selasphorus flammula","Salvin 1865","Energetics of nectar extraction in a small, high altitude, tropical hummingbird, Selasphorus flammula","2-s2.0-0038572169","Trochilidae","27743543",NA,"33444710","accepted name","1a"
"5761","Corythaixoides concolor","Animalia","Aves","Musophagiformes","10.1023/A:1016648326847","2001","Corythaixoides concolor","A Smith 1833","Effects of tsetse targets on mammals and birds in Kasungu National Park, Malawi","2-s2.0-0034923727","Musophagidae","27743563",NA,"33444712","accepted name","1a"
"5762","Acanthorhynchus tenuirostris","Animalia","Aves","Passeriformes","10.1086/648990","2010","Acanthorhynchus tenuirostris","Latham 1802","Bird pollination of the climbing heath Prionotes cerinthoides (Ericaceae)","2-s2.0-77149171757","Meliphagidae","27743862",NA,"33394204","accepted name","1a"
"5763","Acanthorhynchus tenuirostris","Animalia","Aves","Passeriformes","10.1007/BF00317758","1990","Acanthorhynchus tenuirostris","Latham 1802","Effects of nectar volume and concentration on sugar intake rates of Australian honeyeaters (Meliphagidae)","2-s2.0-0025684098","Meliphagidae","27743862",NA,"33394204","accepted name","1a"
"5764","Aethopyga christinae","Animalia","Aves","Passeriformes","10.1111/j.1744-7429.2009.00585.x","2010","Aethopyga christinae","Swinhoe 1869","Passerine Pollination of Rhodoleia championii (Hamamelidaceae) in Subtropical China","2-s2.0-77954137239","Nectariniidae","27743928",NA,"33333979","accepted name","1a"
"5765","Aethopyga saturata","Animalia","Aves","Passeriformes","10.1111/j.1744-7909.2006.00359.x","2006","Aethopyga saturata","Hodgson 1836","Reproductive ecology of Rhynchanthus beesianus W. W. Smith (Zingiberaceae) in South Yunnan, China: A ginger with bird pollination syndrome","2-s2.0-33845520145","Nectariniidae","27743939",NA,"33333979","accepted name","1a"
"5766","Aethopyga siparaja","Animalia","Aves","Passeriformes","10.3732/ajb.1600428","2017","Aethopyga siparaja","Raffles 1822","Nectar properties and the role of sunbirds as pollinators of the golden-flowered tea (Camellia petelotii)","2-s2.0-85019677215","Nectariniidae","27743941",NA,"33333979","accepted name","1a"
"5767","Aethopyga siparaja","Animalia","Aves","Passeriformes","10.1007/s13592-011-0065-1","2011","Aethopyga siparaja","Raffles 1822","Is the bumblebee (Bombus haemorrhoidalis) the only pollinator of large cardamom in central Himalayas, India?","2-s2.0-84856660867","Nectariniidae","27743941",NA,"33333979","accepted name","1a"
"5768","Aethopyga siparaja","Animalia","Aves","Passeriformes","","1991","Aethopyga siparaja","Raffles 1822","Pollination ecology of the two wild bananas, Musa acuminata subsp. halabanensis and M. salaccensis: chiropterophily and ornithophily","2-s2.0-0026283917","Nectariniidae","27743941",NA,"33333979","accepted name","1a"
"5769","Alcippe poioicephala","Animalia","Aves","Passeriformes","","2000","Alcippe poioicephala","Jerdon 1844","Pollination ecology of Helicteres isora Linn. (Sterculiaceae)","2-s2.0-0012204673","Pellorneidae","27743982",NA,"33304838","accepted name","1a"
"5770","Amblyospiza albifrons","Animalia","Aves","Passeriformes","10.2989/00306525.2014.900828","2014","Amblyospiza albifrons","Vigors 1831","Nectar feeding by weavers (Ploceidae) and their role as pollinators","2-s2.0-84900799919","Ploceidae","27744023",NA,"33399327","accepted name","1a"
"5771","Anaplectes rubriceps","Animalia","Aves","Passeriformes","10.2989/00306525.2014.900828","2014","Anaplectes rubriceps","Sundevall 1850","Nectar feeding by weavers (Ploceidae) and their role as pollinators","2-s2.0-84900799919","Ploceidae","27744052",NA,"33399269","accepted name","1a"
